img_entrenamiento,validacion,preprocesamiento,inpaint,RGB_gray,arquitectura,capas,filtros,neuronas,test,Acc,Bal_acc,F_score,Kappa,AUC,Tiempo(mins)
OCT,No,No,No,RGB,Alqudah,2,2.0,64/128,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5031456459637035,13.49414363304774
OCT,No,No,No,RGB,Alqudah,2,2.0,64/128,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.49548817727449246,13.49414363304774
OCT,No,No,No,RGB,Alqudah,2,2.0,128/256,iphone,0.48484848484848486,0.2,0.3166357452071738,0.0,0.5031631018044399,16.946989719072977
OCT,No,No,No,RGB,Alqudah,2,2.0,128/256,Samsung,0.5053763440860215,0.2,0.3393241167434715,0.0,0.49962524285185433,16.946989719072977
OCT,No,No,No,RGB,Alqudah,4,1.0,0/0,iphone,0.42424242424242425,0.20591491841491844,0.35184623590075365,0.016898954703832736,0.528659753965997,4.966461749871572
OCT,No,No,No,RGB,Alqudah,4,1.0,0/0,Samsung,0.4731182795698925,0.19846808510638297,0.37263257575757575,0.014915693904020588,0.5451674461667549,4.966461749871572
OCT,No,No,No,RGB,Alqudah,4,1.0,512/256,iphone,0.09090909090909091,0.21538461538461537,0.02729044834307992,0.00011222085063400389,0.5631307669999998,7.091731011867523
OCT,No,No,No,RGB,Alqudah,4,1.0,512/256,Samsung,0.12903225806451613,0.17927659574468086,0.12896206598203525,-0.0373175433764803,0.4990998593418662,7.091731011867523
OCT,No,No,No,RGB,Alqudah,4,1.0,128/64,iphone,0.15151515151515152,0.2677447552447553,0.11327029957639854,0.02963827304550759,0.559528054853574,5.499805152416229
OCT,No,No,No,RGB,Alqudah,4,1.0,128/64,Samsung,0.3548387096774194,0.23038297872340427,0.3398461403968878,0.044029467192050586,0.4680900258160485,5.499805152416229
OCT,No,No,No,RGB,Alqudah,4,1.0,64/128,iphone,0.13131313131313133,0.2594114219114219,0.08753802391733427,0.027416038382453767,0.5053571920348441,5.063586823145548
OCT,No,No,No,RGB,Alqudah,4,1.0,64/128,Samsung,0.21505376344086022,0.17506382978723406,0.22614802046868743,-0.03759743237047242,0.4899585559396419,5.063586823145548
OCT,No,No,No,RGB,Alqudah,4,1.0,128/256,iphone,0.16161616161616163,0.23849067599067597,0.15174819368165257,0.01909991643786546,0.48408274248654803,5.41522206068039
OCT,No,No,No,RGB,Alqudah,4,1.0,128/256,Samsung,0.41935483870967744,0.2596595744680851,0.3935341045887658,0.10417409917945064,0.5416108396827369,5.41522206068039
OCT,No,No,No,RGB,Alqudah,4,0.5,0/0,iphone,0.43434343434343436,0.2804778554778555,0.38519967413930684,0.08029197080291961,0.5050744238765008,3.6630518158276875
OCT,No,No,No,RGB,Alqudah,4,0.5,0/0,Samsung,0.46236559139784944,0.19872340425531915,0.3444720154397574,0.0008594757198108205,0.5061445138589159,3.6630518158276875
OCT,No,No,No,RGB,Alqudah,4,0.5,512/256,iphone,0.2727272727272727,0.2571969696969697,0.2769852479914009,0.06370681728622085,0.5197845401706862,3.999942644437154
OCT,No,No,No,RGB,Alqudah,4,0.5,512/256,Samsung,0.3870967741935484,0.23412765957446807,0.3682881818852883,0.029654036243822013,0.5254932663880524,3.999942644437154
OCT,No,No,No,RGB,Alqudah,4,0.5,128/64,iphone,0.42424242424242425,0.20705128205128207,0.32231369222837564,-0.007858546168958647,0.5047697309185308,3.6860663096110025
OCT,No,No,No,RGB,Alqudah,4,0.5,128/64,Samsung,0.5053763440860215,0.2689787234042553,0.4069365726762834,0.1029565946739357,0.5389336076117232,3.6860663096110025
OCT,No,No,No,RGB,Alqudah,4,0.5,64/128,iphone,0.26262626262626265,0.22144522144522147,0.2689897378892594,0.017269513190100505,0.5256792565585005,3.7178500731786093
OCT,No,No,No,RGB,Alqudah,4,0.5,64/128,Samsung,0.34408602150537637,0.22536170212765957,0.3531499862145024,0.05904793498092531,0.5439439990760766,3.7178500731786093
OCT,No,No,No,RGB,Alqudah,4,0.5,128/256,iphone,0.24242424242424243,0.16893939393939394,0.20348265327820075,-0.04798870853916726,0.4518149075495799,3.7632669607798257
OCT,No,No,No,RGB,Alqudah,4,0.5,128/256,Samsung,0.43010752688172044,0.2159148936170213,0.39190840148172584,0.03296056503825773,0.49164777068416277,3.7632669607798257
